sequence,file,description
1,assembly-step-001.jpg,"All 3D-printed components before installation"
2,assembly-step-002.jpg,"Fasteners, standoffs, bearings, and small joining hardware"
3,assembly-step-003.jpg,"Power leads prepared for soldering"
4,assembly-step-004.jpg,"Completed soldered power harness"
5,assembly-step-005.jpg,"Main-power rocker switch"
6,assembly-step-006.jpg,"Power harness, rocker switch, and flag terminals connected"
7,assembly-step-007.jpg,"10 cm downward-angle USB-C to straight USB-A male cable for the depth camera"
8,assembly-step-008.jpg,"Superseded 30 cm ZH1.5-4P to USB-A male LiDAR cable"
9,assembly-step-009.jpeg,"Final 20 cm ZH1.5 to 2.54 mm female-Dupont 1P 4-wire LiDAR harness"
10,assembly-step-010.jpg,"10 cm USB-C to USB-A male cable for the IMU"
11,assembly-step-011.jpg,"30 cm motor cable"
12,assembly-step-012.jpg,"20 cm servo cable"
13,assembly-step-013.jpg,"Steering servo"
14,assembly-step-014.jpg,"Drive motor"
15,assembly-step-015.jpg,"Front and rear LiDAR units"
16,assembly-step-016.jpg,"IMU gyroscope"
17,assembly-step-017.jpg,"D435f depth camera"
18,assembly-step-018.jpg,"ESP32 module and carrier board with OLED installed"
19,assembly-step-019.jpg,"Jetson Orin Nano Super Developer Kit"
20,assembly-step-020.jpg,"Large-capacity and small-capacity battery options"
21,assembly-step-021.jpg,"3D-printed chassis with silicone front wheels and smooth rear wheels"
22,assembly-step-022.jpeg,"Front axle, servo, and Ackermann steering assembly, view 1"
23,assembly-step-023.jpeg,"Front axle, servo, and Ackermann steering assembly, view 2"
24,assembly-step-024.jpg,"Ackermann front-wheel steering knuckle"
25,assembly-step-025.jpg,"Top-front oblique view of the Ackermann front axle"
26,assembly-step-026.jpg,"Front view of the Ackermann front axle"
27,assembly-step-027.jpg,"Rear view of the assembled Ackermann front axle"
28,assembly-step-028.jpg,"Second rear view of the assembled Ackermann front axle"
29,assembly-step-029.jpg,"Front view of the assembled Ackermann front axle"
30,assembly-step-030.jpg,"Ackermann front axle connected to the servo, showing steering deflection"
31,assembly-step-031.jpg,"Rear-axle assembly"
32,assembly-step-032.jpg,"Rear-axle pulleys and shared axle"
33,assembly-step-033.jpg,"Rear axle with the motor installed"
34,assembly-step-034.jpg,"Rear motor and pulley detail, view 1"
35,assembly-step-035.jpg,"Rear motor and pulley detail, view 2"
36,assembly-step-036.jpg,"Custom 65 mm smooth rear wheels to reduce tyre scrub"
37,assembly-step-037.jpg,"Large rear-wheel retaining nut"
38,assembly-step-038.jpg,"Rear-wheel bearing"
39,assembly-step-039.jpg,"Hollow metal rear-axle tube detail"
40,assembly-step-040.jpg,"Top view of the open central chassis cavity before the first cover plate, view 1"
41,assembly-step-041.jpg,"Top view of the open central chassis cavity before the first cover plate, view 2"
42,assembly-step-042.jpg,"Top view of the rear chassis with battery and retaining plate, view 1"
43,assembly-step-043.jpg,"Top view of the rear chassis with battery and retaining plate, view 2"
44,assembly-step-044.jpg,"Top view after the second-layer cover plate is installed, view 1"
45,assembly-step-045.jpg,"Top view after the second-layer cover plate is installed, view 2"
46,assembly-step-046.jpg,"Second-layer front-LiDAR mounting holes"
47,assembly-step-047.jpg,"Second-layer dual-LiDAR mounting: screw holes, trays, and offset mounting detail"
48,assembly-step-048.jpg,"Second-layer rear-LiDAR mounting holes"
49,assembly-step-049.jpg,"Top overview after LiDAR installation"
50,assembly-step-050.jpg,"Front overview after LiDAR installation"
51,assembly-step-051.jpg,"Rear overview after LiDAR installation"
52,assembly-step-052.jpg,"Left-side overview after LiDAR installation"
53,assembly-step-053.jpg,"Right-side overview after LiDAR installation"
54,assembly-step-054.jpg,"Second-layer split power lead, display lead, and servo lead routed out"
55,assembly-step-055.jpg,"In-progress second layer with mounted LiDARs, legacy LiDAR leads, brass standoffs, servo lead, and display cable opening"
56,assembly-step-056.jpg,"Third-layer upper plate installed with two LiDAR leads and power lead routed out"
57,assembly-step-057.jpg,"Third-layer upper-plate installation detail with two LiDAR leads and power lead"
58,assembly-step-058.jpg,"Third-layer upper plate with motor lead routed out and second-layer tray fixed to four brass standoffs"
59,assembly-step-059.jpg,"Depth-camera mounting bracket before installation, front view"
60,assembly-step-060.jpg,"Depth-camera mounting bracket before installation, rear view"
61,assembly-step-061.jpg,"Installing the depth camera and tightening screws"
62,assembly-step-062.jpg,"Depth camera installed on the third layer"
63,assembly-step-063.jpg,"ESP32 installed on the third layer"
64,assembly-step-064.jpg,"ESP32 and speaker installed on the third layer"
65,assembly-step-065.jpeg,"IMU cable connection before installation on the third layer"
66,assembly-step-066.jpg,"IMU installed on the third layer"
67,assembly-step-067.jpg,"Jetson and its two support brackets on the rear half of the third layer"
68,assembly-step-068.jpg,"Combined Jetson support bracket on the third layer"
69,assembly-step-069.jpg,"Jetson support bracket fixed with screws"
70,assembly-step-070.jpg,"Right-side top view of the installed Jetson on the rear half of the third layer"
71,assembly-step-071.jpg,"W5500 Ethernet module, tray, and cable ties"
72,assembly-step-072.jpg,"Top-front view of the installed Jetson on the rear half of the third layer"
